feature,importance
URLSimilarityIndex,0.18387752554940776
NoOfExternalRef,0.16245398532909977
LineOfCode,0.152791352221241
NoOfSelfRef,0.10572303326833463
NoOfImage,0.08998613136245728
NoOfJS,0.06958694414158698
HasSocialNet,0.03224873709004491
NoOfCSS,0.02993265154503589
HasCopyrightInfo,0.025395589952247718
IsHTTPS,0.022943703681833957
LargestLineLength,0.01863901050726082
HasDescription,0.018141967465527178
NoOfDegitsInURL,0.014444974441480383
NoOfOtherSpecialCharsInURL,0.014433634681470365
DegitRatioInURL,0.009695245868169094
NoOfLettersInURL,0.00777522949768422
URLLength,0.006578360330199744
DomainTitleMatchScore,0.00633388636102962
IsResponsive,0.006202220015845328
SpacialCharRatioInURL,0.0041358617971075885
URLTitleMatchScore,0.004022344097449771
HasSubmitButton,0.0030475548728291016
LetterRatioInURL,0.0029650467739819435
NoOfSubDomain,0.0026688090054893462
NoOfEmptyRef,0.002017681198789963
DomainLength,0.0008330219814442482
URLCharProb,0.0006240995045332285
CharContinuationRate,0.000563467356177821
HasFavicon,0.0005392676904375282
NoOfQMarkInURL,0.0004260651021358786
NoOfiFrame,0.0002769817195034794
TLDLegitimateProb,0.0002476945182801561
TLDLength,7.603766431846798e-05
NoOfEqualsInURL,6.767807518199243e-05
Bank,5.0300291488600445e-05
HasTitle,4.267832518356164e-05
Pay,3.7657599543110425e-05
HasPasswordField,3.6751623343995034e-05
HasHiddenFields,3.431284936010329e-05
NoOfAmpersandInURL,3.280639065414875e-05
NoOfPopup,2.4622144086140198e-05
Robots,2.4415992621803135e-05
NoOfURLRedirect,9.826149826871134e-06
Crypto,7.578809581824554e-06
NoOfSelfRedirect,1.7682454552557346e-06
IsDomainIP,5.938229339290483e-07
NoOfObfuscatedChar,5.736525516197551e-07
HasExternalFormSubmit,3.194357517568596e-07
ObfuscationRatio,0.0
HasObfuscation,0.0
