feature,importance
URLSimilarityIndex,0.4255031821474977
LargestLineLength,0.15700347083871344
IsHTTPS,0.10928877717304676
NoOfOtherSpecialCharsInURL,0.09116345419096404
NoOfDegitsInURL,0.04708892846196731
DegitRatioInURL,0.037789421771914175
URLLength,0.024796310333533998
SpacialCharRatioInURL,0.02297745806964239
NoOfLettersInURL,0.02169631575684525
LetterRatioInURL,0.01926669468615841
Pay,0.010065957828000315
NoOfSubDomain,0.008704015680734135
URLCharProb,0.008192466155260803
CharContinuationRate,0.007498793643276554
DomainLength,0.0037451966245305693
TLDLegitimateProb,0.003646222056366856
TLDLength,0.0010216418838901492
Bank,0.0005097411004952669
NoOfEqualsInURL,1.7288393704615527e-05
Crypto,1.228314228584119e-05
NoOfQMarkInURL,9.522332815645318e-06
IsDomainIP,2.7252442891052695e-06
HasObfuscation,1.0176215999039731e-07
ObfuscationRatio,3.072190651713514e-08
NoOfObfuscatedChar,0.0
NoOfAmpersandInURL,0.0
